"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Brycen Tremayne","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Anthony Miller","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ricky White III","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kaden Prather","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Konata Mumpfield","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dominic Lovett","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Junior Bergen","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Equanimeous St. Brown","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Thompson","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jha'Quan Jackson","TEN","0.0","0.3","0.0","0.0","0.1","0.0","0.0","0.0"
""
""
